entity_name,category_code,category_description,url,description,date_added,source,notes
Qatar Center for Artificial Intelligence,ACDM,Academic (education and research),https://qcai.qcri.org,"A center that aims to create an enabling environment for collaborative research and development, and promote AI innovations for betterment of human society. It is part of Qatar Computing Research Institute, Hamad bin Khalifa University.",2021-05-27,JOSA,
Digital Incubation Center,FUND,Funding,https://dic.motc.gov.qa/,"An incubator for early stage tech startups, providing work space,mentorship and funding. It is part of the Ministry of Transportation and Communication and funding is provided through Qatar Development Bank.",2021-05-27,JOSA,
Doha TechAngels,FUND,Funding,http://www.dta.qa/,A private angel fund providing seed funding for early stage technology startups.,2021-05-27,JOSA,
Qatar Science & Technology Park,FUND,Funding,https://qstp.org.qa/,An incubator and accelerator (innovation hub) for tech startups.,2021-05-27,JOSA,
Dxwand,INDS,Industry,https://dxwand.com/,"A sales chatbot that integrates with different channels, powered by AI.",2021-05-27,JOSA,
Tasmo/ADGS,INDS,Industry,http://www.adgs.com/tasmo.html,"A cost-effective, AI-based tool that understands the content of your data and automatically correlates findings with other data sources.",2021-05-27,JOSA,
