Category code,Category name,Category description
INDS,Industry,"Entities who develop or specialize in AI, for profit"
GOVT,Government,Entities who engage in AI policies
CIVC,Civil society,Entities who question AI and AI policies
ACDM,Education and research,Entities who engage in AI research or capacity building
FUND,Funding,"Entities who fund AI initiatives, directly or indirectly"
