entity_name,category_code,category_description,url,description,date_added,source,notes
German University of Technology in Oman,ACDM,Academic (education and research),https://www.gutech.edu.om/academic/engineering-cs/computer-science/master-computer-science/,Master of Science in Computer Science with a specialisation option in Data Science.,2021-05-27,JOSA,
IDO Investments,FUND,Funding,http://www.ido.om/,A technology investment firm that invests in established companies with innovative products or solutions.,2021-05-27,JOSA,
Phaze Ventures,FUND,Funding,https://www.phazeventures.com/,A venture capital firm that aims at transforming the region by unlocking the potential startups.,2021-05-27,JOSA,
Oman Technology Fund,FUND,Funding,https://www.otf.om/,"A fund that offers a program that covers incubation, acceleration and venture capital.",2021-05-27,JOSA,
Datalytics24,INDS,Industry,https://www.datalytics24.com/,An online monitoring and analytics of web content and social media.,2021-05-27,JOSA,
